date,open,high,low,close,volume,amount,code,name,return,is_extreme,industry,index_hs300,index_zz500,cpi,m2_yoy
2022-09-29,2285.06731752,2288.94469419,2213.98207857,2216.56699635,53710931,930260611.79,2,万科A,-0.017914376799507272,False,房地产,3827.1434,5771.8812,2.5,12.1
2022-09-30,2266.97289306,2329.01091978,2230.78404414,2304.45420087,86090478,1523629251.07,2,万科A,0.038884258263100206,False,房地产,3804.8853,5714.0629,2.5,12.1
2022-10-10,2300.5768242,2380.70927538,2277.31256418,2295.40698864,94803985,1703649815.2,2,万科A,-0.003933694311025194,False,房地产,3720.9365,5635.7109,2.8,11.8
2022-10-11,2295.40698864,2296.69944753,2163.57618186,2194.59519522,88729965,1516868802.77,2,万科A,-0.04491255668082268,False,房地产,3727.6867,5684.5063,2.8,11.8
2022-10-12,2194.59519522,2255.34076305,2172.62339409,2220.44437302,57958740,990739985.31,2,万科A,0.011709735672908138,False,房地产,3784.3064,5820.4537,2.8,11.8
2022-10-13,2199.76503078,2216.56699635,2122.21749738,2171.3309352,70228592,1172310954.51,2,万科A,-0.022367030146896033,False,房地产,3752.6729,5830.3355,2.8,11.8
2022-10-14,2176.50077076,2269.55781084,2176.50077076,2199.76503078,66315307,1137716112.81,2,万科A,0.01301023673601479,False,房地产,3842.4698,5973.4389,2.8,11.8
2022-10-17,2184.2555241,2201.05748967,2113.17028515,2145.4817574,89515229,1480257473.09,2,万科A,-0.024986427782730566,False,房地产,3846.4119,6015.5963,2.8,11.8
2022-10-18,2145.4817574,2164.86864075,2095.07586069,2117.04766182,70268854,1154282577.48,2,万科A,-0.013341616937574147,False,房地产,3838.2667,6035.6737,2.8,11.8
2022-10-19,2106.7079907,2140.31192184,2089.90602513,2089.90602513,69440597,1130203988.16,2,万科A,-0.012903404835907841,False,房地产,3776.5335,5972.7226,2.8,11.8
2022-10-20,2080.8588129,2102.83061403,2070.51914178,2083.44373068,44992317,725438358.16,2,万科A,-0.003096936510533299,False,房地产,3754.9269,5948.8621,2.8,11.8
2022-10-21,2106.7079907,2129.97225072,2076.98143623,2092.49094291,65896956,1071281707.06,2,万科A,0.004333030611061321,False,房地产,3742.8929,5956.8811,2.8,11.8
2022-10-24,2067.934224,2071.81160067,2003.3112795,2011.06603284,89302158,1401719806.01,2,万科A,-0.03969024893929813,False,房地产,3633.3733,5896.9031,2.8,11.8
2022-10-25,2003.3112795,2033.03783397,1987.80177282,2009.77357395,59127836,917749325.72,2,万科A,-0.0006428801250023815,False,房地产,3627.4542,5869.781,2.8,11.8
2022-10-26,2009.77357395,2017.52832729,1936.10341722,1947.73554723,142607265,2159205449.94,2,万科A,-0.031354625986838934,False,房地产,3656.9027,5971.6009,2.8,11.8
2022-10-27,1947.73554723,1959.36767724,1923.17882832,1924.47128721,106219858,1592665605.04,2,万科A,-0.012016165942486593,False,房地产,3631.1448,5963.0037,2.8,11.8
2022-10-28,1910.25423942,1915.42407498,1849.50867159,1853.38604826,99699509,1448620565.39,2,万科A,-0.0376370115244432,False,房地产,3541.3295,5781.7972,2.8,11.8
2022-10-31,1819.78211712,1822.3670349,1696.99852257,1747.40441928,179902012,2434897199.27,2,万科A,-0.058882764556656364,False,房地产,3508.7034,5807.1063,2.8,11.8
2022-11-01,1744.8195015,1791.34802154,1716.38540592,1791.34802154,119725232,1625200150.33,2,万科A,0.024836923146939104,False,房地产,3634.1732,5941.1451,2.1,12.4
2022-11-02,1764.20638485,1821.07457601,1744.8195015,1797.81031599,97590232,1353942239.34,2,万科A,0.003601012173594375,False,房地产,3677.8051,5997.8038,2.1,12.4
2022-11-03,1777.13097375,1793.93293932,1749.98933706,1762.91392596,71606710,979079593.47,2,万科A,-0.01960135352003552,False,房地产,3647.8966,5996.7187,2.1,12.4
2022-11-04,1755.15917262,1821.07457601,1751.28179595,1814.61228156,107751438,1500447962.8,2,万科A,0.028903746182348995,False,房地产,3767.1746,6133.4629,2.1,12.4
2022-11-07,1797.81031599,1845.63129492,1796.5178571,1839.16900047,78028943,1102606762.12,2,万科A,0.013442013504095966,False,房地产,3775.2971,6141.4088,2.1,12.4
2022-11-08,1835.2916238,1881.82014384,1823.65949379,1843.04637714,84443873,1205228539.52,2,万科A,0.002106002884389015,False,房地产,3749.3251,6134.2564,2.1,12.4
2022-11-09,1893.45227385,1937.39587611,1867.60309605,1880.52768495,139348952,2049047167.88,2,万科A,0.02013257863135171,False,房地产,3714.2704,6120.8286,2.1,12.4
2022-11-10,1861.1408016,1876.65030828,1832.70670602,1852.09358937,64115572,918750012.47,2,万科A,-0.015235751777421097,False,房地产,3685.6885,6089.6951,2.1,12.4
2022-11-11,1903.79194497,2036.91521064,1894.74473274,2036.91521064,291165404,4449223899.25,2,万科A,0.09511984258965264,False,房地产,3788.4387,6138.6211,2.1,12.4
2022-11-14,2092.49094291,2176.50077076,2066.64176511,2118.34012071,285060628,4673831799.92,2,万科A,0.039196308326005354,False,房地产,3794.0171,6129.5129,2.1,12.4
2022-11-15,2106.7079907,2142.89683962,2067.934224,2113.17028515,154225629,2511540462.75,2,万科A,-0.002443495412475986,False,房地产,3865.9726,6236.3838,2.1,12.4
2022-11-16,2086.02864846,2098.95323736,2031.74537508,2049.83979954,107212847,1704672479.33,2,万科A,-0.030427681136560455,False,房地产,3834.3899,6203.9174,2.1,12.4
2022-11-17,2051.13225843,2067.934224,2012.35849173,2043.37750509,86226720,1359627500.02,2,万科A,-0.0031575649853212546,False,房地产,3818.664,6217.2052,2.1,12.4
2022-11-18,2039.50012842,2058.88701177,2013.65095062,2022.69816285,67514748,1061066954.55,2,万科A,-0.010171734235218437,False,房地产,3801.5686,6191.6477,2.1,12.4
2022-11-21,2012.35849173,2016.2358684,1949.02800612,2012.35849173,76322405,1170548957.45,2,万科A,-0.005124931140255239,False,房地产,3769.1269,6189.7092,2.1,12.4
2022-11-22,2042.0850462,2061.47192955,1989.09423171,2016.2358684,82836874,1295600188.91,2,万科A,0.001924928409584418,False,房地产,3769.5727,6125.3999,2.1,12.4
2022-11-23,1990.3866906,2033.03783397,1987.80177282,2002.01882061,46741267,725267998.86,2,万科A,-0.0070762598267141855,False,房地产,3773.5287,6115.6049,2.1,12.4
2022-11-24,2071.81160067,2089.90602513,2036.91521064,2070.51914178,131671722,2102615430.01,2,万科A,0.03364328721143592,False,房地产,3756.8082,6120.0659,2.1,12.4
2022-11-25,2093.7834018,2255.34076305,2092.49094291,2238.53879748,246898619,4171659422.29,2,万科A,0.07802396149407591,False,房地产,3775.7764,6087.8591,2.1,12.4
2022-11-28,2182.96306521,2235.9538797,2149.35913407,2212.68961968,146852135,2494557511.34,2,万科A,-0.011614532420693114,False,房地产,3733.2424,6055.2843,2.1,12.4
2022-11-29,2323.84108422,2433.70008987,2308.33157754,2433.70008987,254560297,4684526916.14,2,万科A,0.095203971955465,False,房地产,3848.4224,6163.8214,2.1,12.4
2022-11-30,2455.671891,2544.85155441,2391.0489465,2410.43582985,274534174,5216426116.77,2,万科A,-0.009605196579236383,False,房地产,3853.0365,6156.1465,2.1,12.4
2022-12-01,2374.24698093,2473.76631546,2369.07714537,2455.671891,171925489,3232368251.63,2,万科A,0.018592833076615925,False,房地产,3894.7687,6186.1021,1.6,11.8
2022-12-02,2391.0489465,2422.06795986,2297.99190642,2376.83189871,181199684,3304802524.96,2,万科A,-0.03263194055021063,False,房地产,3870.9478,6168.0127,1.6,11.8
2022-12-05,2442.7473021,2507.3702466,2432.40763098,2445.33221988,193712420,3707004415.18,2,万科A,0.028412525007502396,False,房地产,3946.8759,6215.1244,1.6,11.8
2022-12-06,2429.8227132,2489.27582214,2384.58665205,2478.93615102,111442351,2120240419.55,2,万科A,0.013648505831559988,False,房地产,3968.1979,6211.2515,1.6,11.8
2022-12-07,2444.03976099,2477.64369213,2365.1997687,2391.0489465,139679464,2596529613.3,2,万科A,-0.036097337371013095,False,房地产,3958.4409,6204.0051,1.6,11.8
2022-12-08,2397.51124095,2520.2948355,2394.92632317,2504.78532882,151486793,2900379907.95,2,万科A,0.046470874378341,False,房地产,3959.1798,6186.2835,1.6,11.8
2022-12-09,2503.49286993,2666.34269007,2489.27582214,2644.37088894,217733959,4380717630.4,2,万科A,0.05423015406086023,False,房地产,3998.2442,6192.3009,1.6,11.8
2022-12-12,2599.13482779,2617.22925225,2502.20041104,2513.83254105,115920179,2288939780.66,2,万科A,-0.050624690459025075,False,房地产,3953.4433,6154.8092,1.6,11.8
2022-12-13,2513.83254105,2533.2194244,2476.35123324,2517.70991772,75261503,1460346558.26,2,万科A,0.0015412281499336022,False,房地产,3945.6813,6121.6615,1.6,11.8
2022-12-14,2507.3702466,2533.2194244,2462.13418545,2487.98336325,79076358,1524377945.54,2,万科A,-0.011877237480595722,False,房地产,3954.8857,6096.3856,1.6,11.8
2022-12-15,2440.16238432,2486.69090436,2391.0489465,2471.18139768,91582817,1723767161.86,2,万科A,-0.006776153110537983,False,房地产,3951.9885,6101.8787,1.6,11.8
2022-12-16,2502.20041104,2557.77614331,2459.54926767,2504.78532882,97693763,1900376962.0,2,万科A,0.013506698839365021,False,房地产,3954.227,6072.8627,1.6,11.8
2022-12-19,2520.2948355,2571.9931911,2468.5964799,2500.90795215,78133772,1518417576.99,2,万科A,-0.0015491869868293781,False,房地产,3893.2207,5936.4751,1.6,11.8
2022-12-20,2429.8227132,2476.35123324,2384.58665205,2418.19058319,67329949,1267532132.25,2,万科A,-0.033634279189792525,False,房地产,3829.0173,5878.0314,1.6,11.8
2022-12-21,2433.70008987,2450.50205544,2402.68107651,2416.8981243,47129966,883042187.6,2,万科A,-0.0005346164254573351,False,房地产,3830.5384,5845.835,1.6,11.8
2022-12-22,2446.62467877,2463.42664434,2405.26599429,2420.77550097,41215556,776149747.52,2,万科A,0.0016029925954563,False,房地产,3836.028,5779.0555,1.6,11.8
2022-12-23,2402.68107651,2450.50205544,2388.46402872,2427.23779542,33100340,619945292.54,2,万科A,0.002665957324119696,False,房地产,3828.2188,5763.3458,1.6,11.8
2022-12-26,2422.06795986,2423.36041875,2352.2751798,2374.24698093,57884507,1063343595.69,2,万科A,-0.02207357455308261,False,房地产,3843.4887,5843.2555,1.6,11.8
2022-12-27,2383.29419316,2444.03976099,2378.1243576,2392.34140539,45940371,855405355.38,2,万科A,0.007592227358371773,False,房地产,3887.854,5885.6622,1.6,11.8
2022-12-28,2388.46402872,2428.53025431,2365.1997687,2401.38861762,39750252,736417992.37,2,万科A,0.0037746068002862164,False,房地产,3871.2644,5862.0967,1.6,11.8
2022-12-29,2389.75648761,2393.63386428,2321.25616644,2347.10534424,60686883,1099884563.42,2,万科A,-0.02286436021254524,False,房地产,3856.7007,5857.4021,1.6,11.8
2022-12-30,2356.15255647,2367.78468648,2317.37878977,2352.2751798,51486383,935144077.43,2,万科A,0.002200220909602559,False,房地产,3871.6338,5864.4669,1.6,11.8
2023-01-03,2339.3505909,2391.0489465,2310.91649532,2356.15255647,63639963,1158945281.2,2,万科A,0.0016469946078219973,False,房地产,3887.8992,5955.8969,1.8,12.6
2023-01-04,2358.73747425,2491.86073992,2335.47321423,2464.71910323,108714691,2060317406.33,2,万科A,0.045047830921755995,False,房地产,3892.9477,5952.4538,1.8,12.6
2023-01-05,2455.671891,2517.70991772,2442.7473021,2498.32303437,70524523,1357011735.35,2,万科A,0.013541873607911857,False,房地产,3968.5782,6010.4641,1.8,12.6
2023-01-06,2534.51188329,2544.85155441,2455.671891,2484.10598658,72123976,1391208648.38,2,万科A,-0.005706889678093276,False,房地产,3980.8888,6012.8152,1.8,12.6
2023-01-09,2493.15319881,2500.90795215,2414.31320652,2427.23779542,68506576,1292008007.55,2,万科A,-0.023158929762029476,False,房地产,4013.1196,6040.0193,1.8,12.6
2023-01-10,2427.23779542,2451.79451433,2410.43582985,2429.8227132,48208009,906180275.22,2,万科A,0.001064396055786723,False,房地产,4017.4737,6048.2968,1.8,12.6
2023-01-11,2432.40763098,2495.73811659,2429.8227132,2454.37943211,66931289,1273464590.19,2,万科A,0.010055654988290934,False,房地产,4010.0309,6014.1565,1.8,12.6
2023-01-12,2436.28500765,2440.16238432,2366.49222759,2403.9735354,67941298,1260184288.98,2,万科A,-0.020750944105038974,False,房地产,4017.8692,6015.2871,1.8,12.6
2023-01-13,2384.58665205,2427.23779542,2384.58665205,2427.23779542,41436177,771628014.51,2,万科A,0.009630893060961366,False,房地产,4074.3772,6057.6902,1.8,12.6
2023-01-16,2427.23779542,2442.7473021,2385.87911094,2416.8981243,66875261,1248278213.7,2,万科A,-0.0042689499195760015,False,房地产,4137.9643,6126.1772,1.8,12.6
2023-01-17,2420.77550097,2436.28500765,2372.95452204,2422.06795986,53144158,988946549.63,2,万科A,0.002136752949735242,False,房地产,4137.2422,6132.6391,1.8,12.6
2023-01-18,2423.36041875,2449.20959655,2383.29419316,2388.46402872,53158934,987395603.39,2,万科A,-0.013971210596738063,False,房地产,4130.3143,6151.4557,1.8,12.6
2023-01-19,2383.29419316,2397.51124095,2339.3505909,2397.51124095,63437898,1161720123.34,2,万科A,0.003780722839905931,False,房地产,4156.0077,6204.3261,1.8,12.6
2023-01-20,2389.75648761,2410.43582985,2371.66206315,2401.38861762,50411409,933806301.62,2,万科A,0.0016159443322484074,False,房地产,4181.5267,6251.4337,1.8,12.6
2023-01-30,2440.16238432,2455.671891,2326.426002,2338.05813201,127047351,2315151336.47,2,万科A,-0.026726433978488614,False,房地产,4201.345,6283.3272,1.8,12.6
2023-01-31,2336.76567312,2371.66206315,2319.96370755,2363.90730981,68920341,1255458742.99,2,万科A,0.010995162995570512,False,房地产,4156.8578,6289.15,1.8,12.6
2023-02-01,2352.2751798,2362.61485092,2313.5014131,2350.98272091,69081089,1246611678.64,2,万科A,-0.005482469872743385,False,房地产,4195.9332,6365.9051,2.1,12.9
2023-02-02,2349.69026202,2375.53943982,2317.37878977,2349.69026202,70721089,1283125788.73,2,万科A,-0.0005499037806981562,False,房地产,4181.1493,6370.1411,2.1,12.9
2023-02-03,2341.93550868,2341.93550868,2310.91649532,2322.54862533,49758437,893421833.48,2,万科A,-0.011618387953865076,False,房地产,4141.6319,6343.6861,2.1,12.9
2023-02-06,2294.11452975,2295.40698864,2223.0292908,2233.36896192,124082714,2153492511.22,2,万科A,-0.03915393741955818,False,房地产,4086.8779,6302.3349,2.1,12.9
2023-02-07,2233.36896192,2300.5768242,2225.61420858,2269.55781084,100742454,1769210773.97,2,万科A,0.016073824831061054,False,房地产,4094.2335,6317.2377,2.1,12.9
2023-02-08,2266.97289306,2305.74665976,2257.92568083,2261.8030575,43636736,768911653.63,2,万科A,-0.003422707277502283,False,房地产,4076.1411,6268.2759,2.1,12.9
2023-02-09,2260.51059861,2304.45420087,2250.17092749,2283.77485863,46350835,819148070.34,2,万科A,0.00966740540213673,False,房地产,4130.8565,6354.562,2.1,12.9
2023-02-10,2279.89748196,2313.5014131,2261.8030575,2283.77485863,44996107,795674132.73,2,万科A,0.0,False,房地产,4106.3097,6334.252,2.1,12.9
2023-02-13,2242.41617415,2294.11452975,2219.15191413,2282.48239974,77172986,1351370295.53,2,万科A,-0.0005660911557910797,False,房地产,4143.574,6383.8279,2.1,12.9
2023-02-14,2285.06731752,2313.5014131,2270.85026973,2288.94469419,57361807,1016643120.41,2,万科A,0.002827256618928323,False,房地产,4145.2902,6397.2146,2.1,12.9
2023-02-15,2274.7276464,2278.60502307,2232.07650303,2241.12371526,65828612,1142728843.53,2,万科A,-0.021113480442346337,False,房地产,4123.6893,6384.3479,2.1,12.9
2023-02-16,2242.41617415,2285.06731752,2220.44437302,2239.83125637,72725627,1270775881.39,2,万科A,-0.0005768676248810532,False,房地产,4093.4876,6289.4786,2.1,12.9
2023-02-17,2233.36896192,2247.58600971,2207.51978412,2208.81224301,48883802,842010133.23,2,万科A,-0.013945606600015144,False,房地产,4034.507,6237.4053,2.1,12.9
2023-02-20,2207.51978412,2282.48239974,2207.51978412,2269.55781084,83430560,1451116357.19,2,万科A,0.027130091079470994,False,房地产,4133.4896,6346.0678,2.1,12.9
2023-02-21,2310.91649532,2322.54862533,2265.68043417,2278.60502307,80648242,1428804707.65,2,万科A,0.003978408202808061,False,房地产,4144.3536,6383.4248,2.1,12.9
2023-02-22,2250.17092749,2265.68043417,2248.8784686,2252.75584527,37475420,653483957.89,2,万科A,-0.01140913687784922,False,房地产,4106.9506,6375.0684,2.1,12.9
